"LAKE_ID","WATER","basin","PIdrinking","PIrecreation","PIaquatic","eutrophic","mesotrophic","oligotrophic","PWS","Beaches","Classification","ACRES","PWLID","hypo","yrs","CSLAPin2018"
"1402KIA0044","Kiamesha Lake","14",8,5,4,15,15,5,"Yes","No","A",145.5,"1402-0003","yes",2,NA
"1402LOU0040","Lake Louise Marie","14",9,4,1,10,16,1,"Yes","No","A",215.6,"1402-0049","yes",1,NA
"1402MAR0002","Martin Lake","14",0,0,0,0,4,0,NA,"No","CT",65.9,"1402-0026",NA,1,NA
"1402MAR0008","Lake Marling","14",0,0,0,0,4,0,NA,"Yes","B",10.1,"1402-0029",NA,1,NA
"1402MOR0050","Morningside Lake","14",0,12,0,20,0,0,NA,"No","B",128.7,"1402-0001",NA,2,NA
"1402PLE0045","Pleasure Lake","14",0,17,1,59,46,0,NA,"No","B",204.1,"1402-0055","yes",5,"yes"
"1402SAN0009","Sand Pond","14",0,0,1,0,3,1,NA,"No","B",20.2,"1402-0029","yes",1,NA
"1402SHE0051","Loch Sheldrake","14",0,0,1,2,18,0,NA,"No","B",64.4,"1402-0057","yes",2,NA
"1402TRE0039","Treasure Lake","14",0,0,0,0,4,0,NA,"No","B",44.6,"1402-0048","yes",1,NA
"1402UWB5050","Unnamed Water","14",0,0,0,0,3,1,NA,"No","C",777.2,"",NA,1,NA
"1402WOL0037","Wolf Lake","14",0,18,4,43,91,10,NA,"No","B",284.5,"1402-0045",NA,6,NA
"1402YAN0021","Yankee Lake","14",0,0,0,21,191,24,NA,"No","C",395.3,"1402-0035","yes",11,"yes"
"1403ALD0346","Alder Lake","14",0,0,0,0,4,0,NA,"No","BTS",43.9,"1403-0086","yes",1,NA
"1403BEA5572","Bear Cub Pond","14",0,0,0,0,2,0,NA,"No","CT",2.7,"",NA,NA,NA
"1403BIG0345","Big Pond","14",0,0,0,0,3,1,NA,"No","B",52.4,"1403-0084","yes",1,NA
"1403LAU0352","Launt Pond","14",0,0,0,3,1,0,NA,"Yes","CT",12.1,"1403-0037",NA,1,NA
"1403LIL0311","Lily Pond","14",2,0,0,0,4,0,"Yes","No","AA",74.3,"1403-0067","yes",1,NA
"1403LIT0344","Little Pond","14",0,0,1,1,3,0,NA,"Yes","BT",16.4,"1403-0083","yes",1,NA
"1403MUS0280A","Lake Muskoday","14",0,0,0,2,2,0,NA,"No","B",50.8,"1403-0054",NA,1,NA
"1403SHA0299","Shandelee Lake","14",0,0,0,0,4,0,NA,"No","B",88.1,"1403-0061","yes",1,NA
"1403TEN0281","Tennanah Lake","14",0,0,0,1,3,0,NA,"No","B",170.1,"1403-0055","yes",1,NA
"1403TRO0317A","Trojan Lake","14",0,0,0,0,4,0,NA,"No","BT",29.1,"",NA,1,NA
"1403UWB0294B","Timber Lake","14",0,24,2,50,12,3,NA,"No","BT",14.2,"",NA,1,NA
"1403UWB0368E","Unnamed Water","14",0,0,1,0,0,0,NA,"No","BT",0.3,"",NA,NA,NA
"1404BEA0401","Beales Pond","14",0,0,1,15,5,0,NA,"No","C",11.5,"1404-0047",NA,2,NA
"1404DEE0389","Deer Lake","14",0,125,2,224,36,4,NA,"No","B",30.7,"1404-0038","yes",11,"yes"
"1404LAU0382","Laurel Lake","14",0,17,16,62,57,0,NA,"No","B",10.6,"1404-0033","yes",5,NA
"1404OQU0383","Oquaga Lake","14",0,1,0,1,11,363,NA,"Yes","AA",133.1,"1404-0032","yes",16,"yes"
"1404PAG0387","Summit Lake","14",0,0,0,0,3,1,NA,"Yes","B",17.1,"1404-0037",NA,1,NA
"1404PAG0391","Page Pond","14",0,0,5,1,16,3,NA,"Yes","CT",10,"1404-0041","yes",2,NA
"1404RUS0410","Russ Gray Pond","14",0,0,0,18,2,0,NA,"No","CTS",6.4,"1404-0055",NA,2,NA
"1404TAN5539","Tanglewood Lake","14",0,0,0,1,0,0,NA,"No","CTS",9.8,"",NA,NA,NA
