row,LAKE_ID,WATER,X_Coordinate,Y_Coordinate,link,availability
44,0105FRE0160,Fredonia Reservoir,-79.309897,42.395113,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Fredonia%20Reservoir(0105FRE0160).html?csf=1&e=Xxz1fg,available
45,0105MIN0165A,Minton Reservoir,-79.57616,42.29744,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Minton%20Reservoir(0105MIN0165A).html?csf=1&e=Xxz1fg,available
46,0105SIL0157,Silver Creek Reservoir,-79.09329,42.47055,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Silver%20Creek%20Reservoir(0105SIL0157).html?csf=1&e=Xxz1fg,available
47,0201ALL5357,Allegheny Reservoir,-78.880669,42.057869,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Allegheny%20Reservoir(0201ALL5357).html?csf=1&e=Xxz1fg,available
48,0201ALM5535,Alma Pond,-78.00189,42.01421,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Alma%20Pond(0201ALM5535).html?csf=1&e=Xxz1fg,available
49,0201CAS0109C,Case Lake,-78.4412,42.32543,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Case%20Lake(0201CAS0109C).html?csf=1&e=Xxz1fg,available
50,0201CUB0115,Cuba Lake,-78.292801,42.253399,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Cuba%20Lake(0201CUB0115).html?csf=1&e=Xxz1fg,available
51,0201HAR0110A,Harwood Lake,-78.380402,42.382999,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Harwood%20Lake(0201HAR0110A).html?csf=1&e=Xxz1fg,available
52,0201LIN0097A,Linlyco Lake,-78.830498,42.273102,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Linlyco%20Lake(0201LIN0097A).html?csf=1&e=Xxz1fg,available
53,0201QUA5359,Quaker Lake,-78.874397,42.050788,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Quaker%20Lake(0201QUA5359).html?csf=1&e=Xxz1fg,available
