LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
168,Chenango Lake,Chenango,New Berlin,0601CHE0213,42.5826,-75.4412,,,,,,
226,China Pond,Putnam,Kent,1302CHI0075,41.4419,-73.7435,,,,,,
,Chodikee Lake,Ulster,Lloyd,1301CHO0437,41.7727,-73.9838,,,,,,
,Clear Pond,Essex,North Hudson,1104CLE0458,43.999,-73.8237,,,,,,
,Clymer Pond,Chautauqua,Clymer,0202CLY0150,42.0149,-79.6265,,,,,,
,Coleman Lake,,,,,,,,,,,
22,Conesus Lake,Livingston,"Livonia, Conesus, Groveland, Geneseo",0402CON0067,42.7522,-77.7187,,,,,,
,Congers Lake,Rockland,Congers,1501CON0984,41.1428,-73.9397,,,,,,
5,Copake Lake,Columbia,Craryville,1310COP0108,42.144,-73.5955,,,,,,
96,Cossayuna Lake,Washington,Argyle,1103COS0079,43.2006,-73.4234,,,,,,
,Coxsackie Reservoir,Greene,Coxsackie,1301COX6780,42.4076,-73.8778,,,,,,
37,Craine Lake,Madison,Hamilton,0602EAR0146,42.7608,-75.5575,,,,,,
198,Cranberry Lake,Westchester,Harrison,1702CRA6892,41.0722,-73.7577,,,,,,
,Cranberry Pond,Monroe,Rochester,0301CRA0155,43.3005,-77.6973,,,,,,
17,Crooked Lake,Onondaga,Tully,0602CRO0073,42.7859,-76.1494,,,,,,
42,Cross Lake,Cayuga,Meridian,0701CRO0185,43.111,-76.4692,,,,,,
,Crystal Lake,Cattaraugus,Freedom,0104CRY0147,42.4631,-78.3437,,,,,,
123,Crystal Lake,Delaware,Deposit,1401CRY0260,41.8731,-75.0269,,,,,,
,Crystal Lake/Sixtown Pond,Jefferson,Adams,0303SIX1030,43.8291,-76.1265,,,,,,
23,Cuba Lake,Allegany,Cuba,0201CUB0115,42.2534,-78.2928,,,,,,
242,Deans Pond,Cortland,Marathon,0602DEA0036,42.4477,-76.0034,,,,,,
195,Deer Lake,Broome,Sanford,1404DEE0389,42.0596,-75.5534,,,,,,
,Deer Pond,Essex,Minerva,1104DEE0629,43.8828,-74.2663,,,,,,
,Delaware Park Lake,Erie,Buffalo,0101DEL0025,42.933,-78.8703,,,,,,
80,Delta Reservoir,Oneida,Floyd,1201UWBxxx1,43.2899,-75.418,,,,,,
40,DeRuyter Reservoir,Madison,DeRuyter,0703DER0139A,42.8107,-75.8886,,,,,,
,Dority Reservoir (Fort Edward Water Supply),Washington,Fort Edward,1101DOR0098,43.2634,-73.627,,,,,,
