OBJECTID_12,Join_Count,TARGET_FID,OBJECTID_1,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Acres,Shape_Le_1,PERMIT_BAS,SUM_SHAPE_,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,SHAPE_AREA_1,Shape_Length,Shape_Area
2237,1,2236,3843,83851,55493691,8/22/2012 0:00,2, , ,0.0269397,206.67,2.0301E+12,390,39011,0,0.009337524,6.653354568,0.009337524,13-02,986221700.4,Croton,13,Lower Hudson River Basin,931663451.1,0.009337524,2.90427E-06
2238,1,2237,3844,83853,55488727,8/22/2012 0:00,2, , ,0.05168834,254.22,2.0301E+12,390,39011,0,0.013094864,12.765597,0.013094865,13-02,986221700.4,Croton,13,Lower Hudson River Basin,931663451.1,0.013094865,5.57484E-06
2239,1,2238,3845,83857,37098333,8/20/2008 0:00,2, , ,0.077,94.8,2.02001E+12,390,39009,0,0.012678199,19.0237382,0.012678199,13-04,501756945.8,Fishkill Creek,13,Lower Hudson River Basin,501756945.8,0.012678199,8.31518E-06
2240,1,2239,3846,83872,37093995,5/17/2007 0:00,2, , ,0.046,169.2,2.02001E+12,390,39009,0,0.017300136,11.4702109,0.017300137,13-05,547901085.6,Wappinger Creek,13,Lower Hudson River Basin,547901085.6,0.017300137,5.04382E-06
2241,1,2240,3847,83884,53545445,8/28/2002 0:00,2, , ,0.176,0,2.02E+12,390,39004,0,0.027098772,43.3846172,0.027098774,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.027098774,1.9329E-05
2242,1,2241,3848,83887,89365715,4/10/2009 0:00,2,958073,Mud Pond,0.045,368.8,2.02E+12,390,39009,0,0.009757197,11.1657796,0.009757199,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.009757199,5.03559E-06
2243,1,2242,3850,83902,133272089,3/24/2005 0:00,2, , ,0.049,0,2.0302E+12,390,39004,0,0.009225047,12.1693108,0.008626054,17-02,5331484361,Long Island Sound,17,Atlantic Ocean-Long Island Sound,1356558744,0.008626054,4.05663E-06
2244,1,2243,3857,83959,89365763,4/10/2009 0:00,2, , ,0.027,0,2.02E+12,390,39004,0,0.01765662,6.7754194,0.017656616,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.017656616,3.05503E-06
2245,1,2244,3859,83979,55486295,8/22/2012 0:00,2, , ,0.03339165,179.33,2.0301E+12,390,39011,0,0.00893221,8.246907195,0.00893221,13-02,986221700.4,Croton,13,Lower Hudson River Basin,931663451.1,0.00893221,3.59327E-06
2246,1,2245,3861,84023,89363193,1/12/2013 0:00,2,945828,Carey Marsh,0.05610316,263.7,2.02E+12,390,39009,0,0.030361533,13.8558551,0.030361538,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.030361538,6.28561E-06
2247,1,2246,3863,84052,55486565,8/22/2012 0:00,2, , ,0.0286566,60.27,2.0301E+12,390,39011,0,0.008082379,7.077550975,0.008082379,13-02,986221700.4,Croton,13,Lower Hudson River Basin,931663451.1,0.008082379,3.07929E-06
