OBJECTID_12,Join_Count,TARGET_FID,OBJECTID_1,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Acres,Shape_Le_1,PERMIT_BAS,SUM_SHAPE_,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,SHAPE_AREA_1,Shape_Length,Shape_Area
2166,1,2165,3696,81713,129691066,12/10/2011 0:00,2, , ,0.031,468,4.15041E+12,390,39009,0,0.012483408,7.584491003,0.012483408,3-Oct,1587233803,Saranac River,10,Lake Champlain River Basin,1587233803,0.012483408,3.46283E-06
2167,1,2166,3698,81758,37100569,1/31/2008 0:00,2, , ,0.027,155.4,2.02001E+12,390,39009,0,0.00693968,6.584909669,0.00693968,13-03,464650582.8,Moodna Creek,13,Lower Hudson River Basin,464650582.8,0.00693968,2.86864E-06
2168,1,2167,3700,81775,94153C1C-05E2-42A6-8E4D-27A70DD31034,11/2/2011 0:00,2, , ,0.043,0,2.02001E+12,390,39000,0,0.024810676,10.7054942,0.024810674,13-07,1303430814,Esopus Creek,13,Lower Hudson River Basin,1097728106,0.024810674,4.71279E-06
2169,1,2168,3701,81785,47723501,1/12/2013 0:00,2, , ,0.19469102,0,2.02E+12,390,39004,0,0.026590595,48.0755353,0.026590594,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.026590594,2.16159E-05
2170,1,2169,3703,81789,89364351,10/30/2012 0:00,2, , ,0.47431095,517,2.02E+12,390,39009,0,0.060543004,117.122866,0.060543002,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.060543002,5.30217E-05
2171,1,2170,3704,81791,89363339,4/10/2009 0:00,2,965331,Sixth Lake,0.181,489,2.02E+12,390,39009,0,0.034782266,44.6229832,0.034782275,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.034782275,2.02405E-05
2172,1,2171,3707,81953,159825858,12/26/2007 0:00,2, , ,0.031,0,2.02001E+12,390,39000,0,0.007920573,7.752164899,0.007920573,13-06,2711385780,Roundout-Wallkill,13,Lower Hudson River Basin,2535886744,0.007920573,3.38742E-06
2173,1,2172,3713,82052,47726283,8/13/2009 0:00,2, , ,0.087,235,2.02E+12,390,39009,0,0.017454352,21.4650604,0.01745435,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.01745435,9.63131E-06
2174,1,2173,3715,82056,89363831,4/10/2009 0:00,2,948800,Dunk Pond,0.078,472,2.02E+12,390,39009,0,0.019062864,19.2194323,0.019062864,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.019062864,8.70921E-06
2175,1,2174,3718,82065,129690877,12/10/2011 0:00,2, , ,0.058,503,4.15041E+12,390,39009,0,0.028051595,14.2891713,0.028051593,3-Oct,1587233803,Saranac River,10,Lake Champlain River Basin,1587233803,0.028051593,6.53842E-06
2176,1,2175,3719,82066,129690834,12/10/2011 0:00,2,970010,Clear Pond,0.421,509,4.15041E+12,390,39009,0,0.057187867,104.054536,0.057187871,3-Oct,1587233803,Saranac River,10,Lake Champlain River Basin,1587233803,0.057187871,4.76696E-05
2177,1,2176,3721,82100,{A6478933-6353-4D9C-B65F-F8CF4178FBE5},12/6/2012 0:00,2, , ,0.05540431,0,2.02001E+12,390,39004,0,0.012348307,13.6814442,0.012348307,13-06,2711385780,Roundout-Wallkill,13,Lower Hudson River Basin,2535886744,0.012348307,5.97604E-06
2178,1,2177,3722,82106,61770543,12/6/2012 0:00,2, , ,0.04747361,300,2.02001E+12,390,39009,0,0.022082185,11.723063,0.022082186,13-06,2711385780,Roundout-Wallkill,13,Lower Hudson River Basin,2535886744,0.022082186,5.146E-06
2179,1,2178,3723,82126,89365003,4/10/2009 0:00,2, , ,0.044,0,2.02E+12,390,39004,0,0.014655033,10.7655292,0.014655036,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.014655036,4.86671E-06
2180,1,2179,3724,82161,37099895,1/31/2008 0:00,2, , ,0.03,138.7,2.02001E+12,390,39009,0,0.007769277,7.348860597,0.007769276,13-03,464650582.8,Moodna Creek,13,Lower Hudson River Basin,464650582.8,0.007769276,3.20471E-06
2181,1,2180,3725,82167,{E4F77D17-97FB-4AE3-8A35-BD119A482F76},12/6/2012 0:00,2, , ,0.03624177,0,2.02001E+12,390,39004,0,0.009688073,8.949512758,0.009688071,13-06,2711385780,Roundout-Wallkill,13,Lower Hudson River Basin,2535886744,0.009688071,3.9087E-06
2182,1,2181,3728,82188,167311370,8/13/2009 0:00,2, , ,0.04,0,2.02E+12,390,39004,0,0.010917203,9.951195642,0.010917204,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.010917204,4.4654E-06
2183,1,2182,3730,82235,159825376,12/26/2007 0:00,2, , ,0.029,0,2.02001E+12,390,39000,0,0.008646359,7.065485435,0.00864636,13-06,2711385780,Roundout-Wallkill,13,Lower Hudson River Basin,2535886744,0.00864636,3.09372E-06
2184,1,2183,3731,82247,{47c76ed0-4491-4c59-ae4f-70a07c6ba317},6/4/2012 0:00,2, , ,0.04628223,0,2.02001E+12,390,39000,0,0.013387695,11.4289218,0.013387696,12-02*,816065380.8,Schoharie Creek * (w/I NY watershed),12,Mohawk River Basin,816065380.8,0.013387696,5.0411E-06
2185,1,2184,3737,82345,132876508,9/8/2009 0:00,2,950170,Fishhole Pond,0.173,0,4.15031E+12,390,39004,0,0.027109709,42.8426756,0.027109709,2-Sep,5129164298,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,4349181503,0.027109709,1.96606E-05
2186,1,2185,3743,82432,132876486,9/8/2009 0:00,2,949552,Elm Pond,0.03,0,4.15031E+12,390,39004,0,0.0082457,7.492167497,0.008245699,2-Sep,5129164298,St. Regis-Salmon-Chateaugay Rivers,9,St. Lawrence River Basin,4349181503,0.008245699,3.43886E-06
2187,1,2186,3745,82476,33529553,6/4/2012 0:00,2, , ,0.03380528,0,2.02001E+12,390,39004,0,0.015290463,8.347954303,0.015290461,2-Dec,1585447178,Schoharie Creek *,12,Mohawk River Basin,1585447178,0.015290461,3.71069E-06
2188,1,2187,3746,82489,50522729,7/21/2008 0:00,2,947936,Cummings Pond,0.122,0,2.02E+12,390,39004,0,0.026350926,30.1105253,0.026350927,1-Nov,2179631613,Upper Hudson Main Stem,11,Upper Hudson River Basin,1945891000,0.026350927,1.34622E-05
2189,1,2188,3752,82546,52850321,1/12/2013 0:00,2,1765048,Rockefeller Lake,0.08280807,173.7,2.02001E+12,390,39009,0,0.012063989,20.4490198,0.01206399,13-09,1070390394,Catskill Creek,13,Lower Hudson River Basin,1070390394,0.01206399,9.04611E-06
2190,1,2189,3753,82552,52846461,11/5/2007 0:00,2, , ,0.204,445,2.02001E+12,390,39009,0,0.031076419,50.4170738,0.031076418,13-09,1070390394,Catskill Creek,13,Lower Hudson River Basin,1070390394,0.031076418,2.23858E-05
2191,1,2190,3754,82560,53544823,1/12/2013 0:00,2, , ,0.04434572,188.7,2.02E+12,390,39009,0,0.016055241,10.9509052,0.01605524,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.01605524,4.8857E-06
2192,1,2191,3755,82561,167261153,7/14/2009 0:00,2, , ,0.035,0,2.02E+12,390,39004,0,0.010521496,8.636936298,0.010521496,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.010521496,3.85626E-06
2193,1,2192,3757,82573,89361993,4/10/2009 0:00,2, , ,0.066,0,2.02E+12,390,39004,0,0.014033156,16.2477373,0.01403316,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.01403316,7.39093E-06
2194,1,2193,3759,82627,47728196,8/13/2009 0:00,2,959733,Packers Pond,0.03,0,2.02E+12,390,39004,0,0.012086363,7.477619424,0.012086362,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.012086362,3.34759E-06
2195,1,2194,3762,82683,37097469,1/30/2008 0:00,2, , ,0.061,0,2.02001E+12,390,39004,0,0.01043657,15.1734671,0.01043657,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.01043657,6.64076E-06
2196,1,2195,3763,82695,52849209,11/5/2007 0:00,2, , ,0.162,211.8,2.02001E+12,390,39009,0,0.023643736,39.9714565,0.023643735,13-09,1070390394,Catskill Creek,13,Lower Hudson River Basin,1070390394,0.023643735,1.77002E-05
2197,1,2196,3769,82763,52849715,8/23/2002 0:00,2, , ,0.032,265.2,2.02001E+12,390,39009,0,0.015032285,7.984900768,0.015032279,13-09,1070390394,Catskill Creek,13,Lower Hudson River Basin,1070390394,0.015032279,3.53414E-06
2198,1,2197,3770,82779,53544265,8/28/2002 0:00,2,967100,Taylor Pond,0.027,0,2.02E+12,390,39004,0,0.013890548,6.733735887,0.013890543,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.013890543,3.00679E-06
2199,1,2198,3771,82791,89364387,4/10/2009 0:00,2, , ,0.034,447,2.02E+12,390,39009,0,0.014905747,8.274055585,0.014905752,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.014905752,3.74518E-06
2200,1,2199,3772,82792,89362803,4/10/2009 0:00,2,968464,Vanderwhacker Pond,0.101,0,2.02E+12,390,39004,0,0.015753708,24.8607722,0.015753708,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.015753708,1.12886E-05
2201,1,2200,3773,82814,37099615,3/27/2002 0:00,2, , ,0.05,0,2.02001E+12,390,39004,0,0.017511638,12.3578663,0.01751164,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.01751164,5.39059E-06
2202,1,2201,3774,82858,167261395,7/14/2009 0:00,2, , ,0.059,0,2.02E+12,390,39004,0,0.013607137,14.5230632,0.013607135,1-Dec,4770324841,Mohawk River Main Stem,12,Mohawk River Basin,4770324841,0.013607135,6.47627E-06
2203,1,2202,3775,82868,167311184,8/13/2009 0:00,2, , ,0.03,0,2.02E+12,390,39004,0,0.008632687,7.340699436,0.008632687,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.008632687,3.29963E-06
2204,1,2203,3776,82874,89364811,4/10/2009 0:00,2, , ,0.03,0,2.02E+12,390,39004,0,0.012697229,7.436025464,0.012697226,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.012697226,3.36269E-06
2205,1,2204,3779,82889,60440929,4/12/2011 0:00,2, , ,0.094,0,2.0301E+12,390,39004,0,0.02506568,23.2973897,0.025065683,15-01,997391165.4,Ramapo River,15,Passaic-Newark (Ramapo River),545098907.8,0.025065683,1.0121E-05
2206,1,2205,3781,82946,89363553,4/10/2009 0:00,2,943054,Barnes Pond,0.053,561,2.02E+12,390,39009,0,0.016838877,13.1766466,0.016838882,4-Nov,7035993540,Headwaters,11,Upper Hudson River Basin,7035993540,0.016838882,5.97312E-06
2207,1,2206,3784,82971,52852875,11/5/2007 0:00,2, , ,0.139,0,2.02001E+12,390,39004,0,0.02594917,34.2719387,0.025949171,13-09,1070390394,Catskill Creek,13,Lower Hudson River Basin,1070390394,0.025949171,1.51239E-05
2208,1,2207,3785,82983,52849901,8/23/2002 0:00,2, , ,0.029,192.9,2.02001E+12,390,39009,0,0.009475438,7.082516468,0.009475439,13-09,1070390394,Catskill Creek,13,Lower Hudson River Basin,1070390394,0.009475439,3.13421E-06
2209,1,2208,3788,83055,52849735,11/4/2007 0:00,2, , ,0.028,175.3,2.02001E+12,390,39009,0,0.009045706,6.981362624,0.009045706,13-09,1070390394,Catskill Creek,13,Lower Hudson River Basin,1070390394,0.009045706,3.08982E-06
2210,1,2209,3792,83094,55485647,8/22/2012 0:00,2, , ,0.04464423,0,2.0301E+12,436,43624,0,0.017783711,11.0252175,0.01778371,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.01778371,4.76311E-06
2211,1,2210,3794,83109,37094689,10/5/2012 0:00,2,974272,Vanderburgh Cove,0.34432252,0,2.02001E+12,390,39004,0,0.037081784,85.0324528,0.037081784,13-01,6487088500,Lower Hudson Main Stem,13,Lower Hudson River Basin,3503032916,0.037081784,3.73451E-05
