OBJECTID *,ACRES,FIN,WATER,SHORELINE_MILES,Shape *,SHAPE.AREA,SHAPE.LEN
3196,1.7,C-23-10-P212,Unnamed Water,0.3,Polygon Z,6920.707638,408.331246
3422,10527.95276,ONT-66-12-52-P286,Canandaigua Lake,41.046172,Polygon Z,42605283.65,66057.54282
3501,43385.91021,ONT-66-12-P369,Seneca Lake,79.184058,Polygon Z,175577251.7,127434.6431
4025,6.1,SR-44-56-P108,Unnamed Water,0.5,Polygon Z,24552.29084,864.595844
4196,66,D-1-48-P55,East Pond,1.5,Polygon Z,267294.6382,2466.010925
5239,67.4,H-299-P27-13-1-P30-2-P35,Loughberry Lake,2.8,Polygon Z,272722.0297,4442.255416
7314,1.249813,H-240-82-147B-1-3-P655A,Tannersville Reservoir,0.181401,Polygon Z,5057.833629,291.936812
7418,53.7,H-193-9-2-P925A,Potic Reservoir,2.6,Polygon Z,217480.7881,4261.966734
7842,15.3,C-134-4-19-P455A,Wilkie Reservoir,1,Polygon Z,62030.1787,1548.451617
7907,44.1,NJ-12-16-P1007A,Unnamed Water,1.8,Polygon Z,178352.8821,2971.873962
8258,123434.2,ONT,Lake Ontario,130.2,Polygon Z,499522598.5,209606.8998
8482,192.3,H-P225-1-2-P226A,Brown's Pond,6,Polygon Z,778132.8509,9664.513014
8566,167.3,H-P225,Lake Washington,2.4,Polygon Z,677027.0335,3865.508973
10375,29.528469,H-240-82-63-13-9-P589,Engleville Pond,0.889702,Polygon Z,119497.9529,1431.839979
12179,16.662332,H-369-P127-33-3-1-P152E,Port Reservoir,1.102083,Polygon Z,67430.3345,1773.634419
12562,0.270837,H-369-P127-21-P134D,Unnamed Water,0.097743,Polygon Z,1096.041726,157.302815
12588,18.659111,H-369-P127-33-3-1-P152D,Rice Reservoir,0.898134,Polygon Z,75511.0461,1445.409132
931,720.1,NJ-1-12-P977A,DeForest Lake,9.6,Polygon Z,2913991.376,15475.77883
1627,2683.676961,H-240-180-P799,Hinckley Reservoir,25.497382,Polygon Z,10860498.79,41034.14055
2132,1235.008056,SL-1-P293-4-P307,Blue Mountain Lake,15.425551,Polygon Z,4997920.277,24825.06835
2765,23.473054,PA-3-57-5-49-P34,Hornell Rs No 1,1.003782,Polygon Z,94992.45898,1615.433135
3050,74.3,D-70-20-25-9-9-P311,Lily Pond,2.7,Polygon Z,300635.158,4359.346354
3298,161.827258,H-369-P127-21-3-P135,Steele Reservoir,3.782467,Polygon Z,654894.2998,6087.303094
3587,35.5,C-101-P367-56-P381,Edgecomb Pond,1.1,Polygon Z,143545.5851,1741.984434
5325,21.7,H-260-2-P1083,Mechanicville Reservoir,1.6,Polygon Z,87625.37687,2641.268163
6078,37.8,H-354-A-P115,Lake Bonita,2,Polygon Z,153104.2719,3226.367298
6233,45.4,H-343-P114,Keenan Reservoir,2.7,Polygon Z,183611.0146,4379.339687
7292,166.5,H-31-P44-23-P67-10-P74,Lake Gleneida,2.2,Polygon Z,673805.3159,3615.449768
7667,3,H-20-2-P28D,Unnamed Water,0.3,Polygon Z,12339.59606,436.173541
8931,10.164623,H-240-82-147B-1-3-P655D,Tannersville Reservoir,0.660425,Polygon Z,41134.93621,1062.852562
9472,211.4,H-94-P341A,Chadwick Lake,4.1,Polygon Z,855335.6267,6523.152823
10271,8.967215,H-240-82-63-1-1-P579,Unnamed Water,0.47802,Polygon Z,36289.17756,769.300261
11298,47.423599,ONT-158-12-11-1-13-P13,Akron Reservoir,2.311948,Polygon Z,191917.2619,3720.727608
15701,72.869222,SR-146-1-P188,Guilford Lake,1.507808,Polygon Z,294892.4579,2426.586281
783,668.7,ONT-117-27-34-11-P43,Canadice Lake,7.3,Polygon Z,2705977.186,11824.11711
822,215.6,D-1-35-P40,Lake Louise Marie,5,Polygon Z,872498.6656,7997.636322
1145,323.7,NJ-12-17-P1008-3-P1010,Mombasha Lake,5.3,Polygon Z,1309998.955,8485.745699
1200,1363.4,H-212-PN185,Alcove Reservoir,17.2,Polygon Z,5517328.29,27635.21472
1309,578.6,H-31-P44-14-P53,Lake Mahopac,7.9,Polygon Z,2341344.967,12791.09881
1445,320,H-139-13-59-P668,Glenmere Lake,8.2,Polygon Z,1295024.386,13158.34401
1764,112.345665,H-240-144-9-15-P708,Klondike Reservoir,5.071958,Polygon Z,454648.5945,8162.541013
2445,178.423047,ONT-66-12-P296,Cayuga Lake,11.881692,Polygon Z,722055.3427,19121.76816
3784,18.7,PA-3-29-P19,Elmira Reservoir,0.9,Polygon Z,75551.96894,1379.796196
5992,69.7,C-15-5-P5064,Mead Reservoir,2.2,Polygon Z,281868.8577,3568.649002
6879,32.3,C-134-4-19-P5349,Unnamed Water,2.4,Polygon Z,130696.346,3845.215963
7110,21,C-15-60-P91,Ray Brook Pond,1.6,Polygon Z,84996.3824,2533.244861
7413,9.5,H-208-4-PN152B,Coxsackie Reservoir,0.9,Polygon Z,38386.89036,1403.891797
8104,1.9,H-103-6-P413,Unnamed Water,0.3,Polygon Z,7676.121277,536.954856
8147,87.5,C-134-4-19-19-P452,Butler Pond,2.6,Polygon Z,353962.5604,4113.384673
8632,149.3,H-61-P187A-1-P188-2-P191,Popolopen Lake,4.1,Polygon Z,604118.3312,6584.869616
8702,117.7,H-89-19-10-P257,Walton Lake,2.5,Polygon Z,476420.767,4051.385504
9049,58.3,H-208-6-PN155,Broncks Lake,1.3,Polygon Z,235879.2212,2062.662532
