LAKE_ID,SAMPLE_NAME
1301CHA0341A,18LHB043
1301CHA0341A,18LHB044
1306HIG0492,18LHB045
1306HIG0492,18LHB046
1306MON0598,18LHB047
1306MON0598,18LHB048
1306SHA0491,18LHB049
1306SHA0491,18LHB050
0501LOW0021,18CMG007
0501MIL0016,18CMG011
0501UWB5107,18CMG001
0502BIR5140,18CMG003
0502SAN0043,18CMG015
0502SAN0043,18CMG016
0502UWB5192,18CMG013
0503ERW0023B,18CMG005
0503ERW0023B,18CMG006
0503UWB5183,18CMG009
1101TRO0459,18LHB033
1101TRO0459,18LHB034
1301COX6780,18LHB011
1301COX6780,18LHB012
1309HOL0913,18LHB019
1309HOL0913,18LHB020
1301PUD5194,18LHB027
1301UWB0420B,18LHB013
1308WILXXX1A,18LHB037
1310SUT0052,18LHB031
1301CHO0437,18LHB009
1301CHO0437,18LHB010
1303GOSXXX1,18LHB017
1303GOSXXX1,18LHB018
1305WAP0365,18LHB035
1306MIL0515,18LHB023
1306UWB6107,18LHB039
1301POC0030,18LHB025
1302CAS0059B,18LHB041
1304BEA0345A,18LHB003
0801LON0922,18BLK005
0801LON0922,18BLK006
0801WHE5670,18BLK011
0801WOO0982,18BLK013
0801WOO0982,18BLK014
0801BUG0789,18BLK001
0801BUG0789,18BLK002
0801EIG0790,18BLK003
0801EIG0790,18BLK004
0903LBR0316,18BLK007
0903LBR0316,18BLK008
1301REN0336,18LHB029
1301REN0336,18LHB030
1309BAS0950A,18LHB001
1310KIN0024,18LHB021
1310KIN0024,18LHB022
0502BIR5140,18CMG103
0502SAN0043,18CMG115
0502SAN0043,18CMG116
0502UWB5192,18CMG113
0503ERW0023B,18CMG105
0503ERW0023B,18CMG106
0501LOW0021,18CMG107
0501MIL0016,18CMG111
0501UWB5107,18CMG101
0503UWB5183,18CMG109
1301CHA0341A,18LHB143
1306HIG0492,18LHB145
1306MON0598,18LHB147
1306SHA0491,18LHB149
1101TRO0459,18LHB133
1101TRO0459,18LHB134
1301CHO0437,18LHB109
1301CHO0437,18LHB110
1301COX6780,18LHB111
1301COX6780,18LHB112
1303GOSXXX1,18LHB117
1303GOSXXX1,18LHB118
1306BIN0735,18LHB005
1306BIN0735,18LHB105
1306MIL0515,18LHB123
1306UWB6107,18LHB139
1309HOL0913,18LHB119
1309HOL0913,18LHB120
1301POC0030,18LHB125
1301POC0030,18LHB126
1301PUD5194,18LHB127
1301REN0336,18LHB129
1301REN0336,18LHB130
1302CAS0059B,18LHB141
1304BEA0345A,18LHB103
1304BEA0345A,18LHB104
1309BAS0950A,18LHB101
1310KIN0024,18LHB121
1310KIN0024,18LHB122
1301UWB0420B,18LHB113
1305WAP0365,18LHB135
1308WILXXX1A,18LHB137
1310SUT0052,18LHB131
0801LON0922,18BLK105
0801LON0922,18BLK106
0801WHE5670,18BLK111
0801WOO0982,18BLK113
0801WOO0982,18BLK114
0801BUG0789,18BLK101
0801BUG0789,18BLK102
0801EIG0790,18BLK103
0801EIG0790,18BLK104
0903LBR0316,18BLK107
0903LBR0316,18BLK108
1702UWB5331,18LIS005
1702UWB0105,18LIS021
1702KIS0076,18LIS025
1702OAK0107,18LIS035
1702ALLXXX1,18LIS001
1702CLO1074,18LIS013
1702OHR1069B,18LIS037
1702OHR1069B,18LIS038
1702WIL1063A,18LIS059
1301MORXXX1,18LIS033
1301THE1027,18LIS053
1301THE1034,18LIS055
1301UWB1031,18LIS057
0601ARN0362,18SRB001
